IEEE,DOI,NAME OF JOURNAL,PUBLICATION YEAR,LEVEL
"In our approach, the health authority validates mobile users based on their identity and location attributes. A mobile user consults the domain server, which forwards the request to the health authority on the user's behalf. Based on this validation, the domain server informs the cloud service provider (CSP) to allow the requested information to be transmitted.",10.1109/MCC.2016.76,Hybrid Cryptographic Access Control for Cloud-Based EHR Systems,19 September 2016,0
"illustrates how cloud computing can be adopted within the healthcare domain for medical data management. Each healthcare provider has access to or hosts a cloud platform, which can be used to store, process, and share data among patients, healthcare personnel, and other relevant stakeholders (such as centers for disease control and prevention if an outbreak is detected). Such a platform can also host services for managing the identities of all registered users, patient consent, and patient health records and reports. The cloud platform can also support the healthcare provider's administrative processes, such as generating and updating billing reports and disbursing funds. To meet patients' mobility needs, public and private cloud platforms used by different healthcare providers can be federated using an intercloud infrastructure to share patient data, generate billing records, and so on.",10.1109/MCC.2016.139,Healthcare-Related Data in the Cloud: Challenges and Opportunities,30 December 2016,0
"However, further integration between IoT and cloud services as well as emerging complex applications require a uniform software layer view on top of these blended IoT elements and cloud services.",10.1109/MCC.2015.23,Principles for Engineering IoT Cloud Systems,2 June 2015,0
"All of this serves to focus us on the primary cloud computing concern for the enterprise, which can be framed in terms of information security and risk management. The need to provide comprehensive confidentiality, integrity, and availability protections for data hosted in the cloud continues to grow in lock step with cloud computing adoption across the enterprise, as does the need to understand how to integrate the data hosted in the cloud into the enterprise's risk management practices (for example, audit/compliance and business continuity/disaster recovery).",10.1109/MCC.2016.21,The Hybrid Cloud Security Professional,26 February 2016,0
"Now there might well be a silver bullet: microservices architectures and continuous integration enable companies such as Google and Amazon to build and release enormous systems such as Web search and e-commerce engines with far more than 10,000 function points, and evolve them with great speed. For example, Google search and applications are built from an interlinked set of more than 5,000 services. The company tests and releases its online systems from a single codebase with more than 2 billion lines of code, deploying about 75,000 committed changes per week.3",10.1109/MCC.2016.109,The Economics of Microservices,11 November 2016,0
"This article doesn't cover the challenges inherent in the cloud-to-cloud interoperability perspective-that is, the cloud integration model consisting of multiple cloud providers that cooperatively integrate (via federated middleware software) their datacenter resources to support seamless migration of application workload and components across each other. An interesting discussion on interoperability appears elsewhere.",10.1109/MCC.2014.41,The Cloud Interoperability Challenge,15 October 2014,0
"Earlier, IT sector faced difficulty in allocation of resources in multi user environments. Therefore, many stakeholders were not in position to finish their software projects in time due to resources unavailability. As a result, cloud computing came into existence and provided a solution on persisting resource sharing problems. A cloud offers a resources as pay-per-use technique, which can be reconfigured instantly according to use requirements [18]. Due to this, cloud computing was deployed in infrastructural environments, share and bind more nodes together at a time.",https://doi.org/10.1109/I-SMAC.2017.8058278,Research opportunities and challenges of security concerns associated with big data in cloud computing,5 October 2017,0
"Thermal imaging is a noncontact and nonintrusive technique, without the need for modifications in the surface temperature. It is also capable of displaying the temperature. This has been leveraged in many industrial and/or research fields when the temperature represents a key variable, including meteorology, environmental studies, medical diagnostics, and architecture.4 Several studies have demonstrated that thermal imaging is an appropriate approach to identifying key parameters to schedule irrigation. There are several critical features for irrigation, such as water stress, gas-exchange rate, evapotranspiration rate, stomatal conductance, and closing of stomata. In water stress condition, stomata begin to close and cease to transpire, plant heats up, and the canopy temperature will rise.5 Therefore, thermal remote sensing can potentially be used to measure plant temperature, stomatal conductance, and evapotranspiration rate by evaluating stomatal responses.6–​9 Thermal imaging has the advantage of providing a temperature value for all of the pixels within the sensor's field of view in comparison to thermometry, where the latter only provides an average value. Therefore, it is occasionally easier to discriminate between different components, such as sunlit versus covered plant portions and wet against dry soil surfaces",10.1109/MCC.2017.5,Cloud of Things in Smart Agriculture: Intelligent Irrigation Monitoring by Thermal Imaging,15 March 2017,0
"As reported by Arbor Networks, the percentage of attacks targeting cloud-based services is growing each year. Over 33 percent of reported DDoS attacks in 2015 targeted cloud services, which makes the cloud a major attack target. Motivation for the DDoS attacks range from extortion, demonstration of attack capabilities, and hacktivism to business rivalry. It is interesting to note the rise of DDoS-attack-for-hire payment-based services, also known as booters or stressers, that attack a target via the planting of attack guns (botnets).3 With the arrival of these methods, the attack frequencies to victim organizations have increased considerably in recent few years. DDoS attacks may last between a few seconds to even weeks in a few cases, which multiplies the economic and business losses multifold.",10.1109/MCC.2017.14,"Combating DDoS Attacks in the Cloud: Requirements, Trends, and Future Directions",15 March 2017,0
"Fire is one of the most common emergency events. It can spread rapidly, burn intensely, carry strong heat, and produce large volumes of fumes and smoke. Fire can prevent evacuees from escaping buildings by obstructing exits, and inflict casualties and loss of life. For early fire detection and suppression, building standards require installation of fire alarms, smoke detectors, carbon monoxide detectors, and firefighting equipment, such as extinguishers, fire blankets, and sprinkler systems. Standard fire safety systems are connected to a central panel that triggers the alarm and provides status information, while alarm systems, composed of strobe lights, lighted exit signs, and sirens, alert occupants and guide them to the nearest exit.",10.1109/MCC.2014.67,A Cloud-Enabled Building and Fire Emergency Evacuation Application,30 November 2014,0
"Attacks on cloud services and attacks on traditional computing systems have some overlapping characteristics because cloud and traditional systems share the same technological underpinnings. However, the cloud environment also has unique characteristics that must be taken into account when developing a cloud attack and risk assessment taxonomy. In particular, a cloud service's elasticity, abstract deployment, and multitenancy might impact the risk assessment.[7]",10.1109/MCC.2015.2,Cloud Attack and Risk Assessment Taxonomy,22 April 2015,0
"These form a virtuous cycle, enabled by the cloud. Faster, cheaper, and better innovation in products, services, and processes thanks to the cloud leads to differentiated offers in the marketplace. Together with precision marketing and global reach, this enables companies to find more customers, close sales, and deliver products and services to those customers, globally. Relationships with those customers move from mere anonymous transactions to a higher degree of intimacy, and advanced big data algorithms such as recommendation engines enable “collective intimacy.”",10.1109/MCC.2018.043221018,Revenue Growth is the Primary Benefit of the Cloud,14 August 2018,0
"Using a private cloud infrastructure within the enterprise, an organization gains the advantages of software virtualization, such as reduced hardware costs through shared virtual machines with high utilization, but without the security concerns that come from ubiquitous, open access. Enterprise auditors and regulators approve of this architecture because the familiar perimeter remains a primary control for security compliance. The safeguards inherent in the private cloud approach include the following:",10.1109/MCC.2014.17,Practical methods for securing the cloud,10 July 2014,0
"Organizations must consider many quantitative and qualitative criteria when making this decision, such as focusing leadership time on “core vs. context” issues-that is, those that are critical to developing competitive advantage versus those that aren't.[5] For example, a movie studio should focus on scripting, cinematography, and casting, not datacenter technology and operations. From a rational economic cost-optimization perspective, however, there are several key drivers.",10.1109/MCC.2014.91,The Nuances of Cloud Economics,30 November 2014,0
"Nevertheless, the usage of an Osmotic Computing infrastructure (CDC+EDC) poses new challenges for IoT workflow application developers and operations managers as they need the awareness of resource/device (CDC server vs. IoT gateway) heterogeneity, virtualisation software heterogeneity (e.g., hypervisor vs. container), data analytic programming model heterogeneity (stream processing vs. batch processing), geographic distribution, and network performance uncertainties.",10.1109/MCC.2017.22,Osmotic Flow: Osmotic Computing + IoT Workflow,26 April 2017,0
"However, the convenience that cloud brings to IoT comes at the cost of potentially new security risks, which have never been considered in a traditional IoT system. In both theory and practice, a cloud is widely recognized as an honest-but-curious party.2 This means that a cloud will handle user-delegated tasks but hardly guarantee confidentiality of user data.",10.1109/MCC.2018.111122026,"Secure Data Collection, Storage and Access in Cloud-Assisted IoT",12 January 2018,0
"The data was collected using semi -structured interviews. The interviews were conducted with twenty IT experts at different organisations in Saudi Arabia. The aim of interviews was to improve the proposed model and explore other factors that were not mentioned in previous studies before carrying out a survey. All the participants were working in IT departments in different sectors, such as manufacturing, engineering and energy.",https://doi.org/10.1109/CloudCom.2014.95,Factors Influencing an Organisation's Intention to Adopt Cloud Computing in Saudi Arabia,12 February 2015,0
"Though these smart devices bring great convenience to us in our daily life, news such as US cell carriers (including AT&T, T-Mobile. and Sprint) selling access to customers' real-time phone location data to a little known company called Securus2 raises public concerns about the risk of personal data leakage and abuse. Such news prompts a debate on whether these IoT devices are our friends or enemies. Trust is not a one-way street in the IoT ecosystem. Data analysts have concerns about the integrity of the data that data owners provide. At the same time, data owners are concerned about whether data analysts only use their data for its declared purposes. Additionally, data owners care about how to protect their own data (sometime captured by manufacturers) when IoT device ownership changes during its life. For example, what happens to the data of a car owner when an autonomous car is sold or the ownership of a car is changed?",10.1109/MCC.2018.043221010,IoTChain: Establishing Trust in the Internet of Things Ecosystem Using Blockchain,14 August 2018,0
"Those three service models are Software as a Service (SaaS), Platform as a Service (PaaS) and Infrastructure as a Service (IaaS). Those four deployment models are private, community, public and hybrid cloud which are the deployment pattern for Cloud Computing. In the architecture of Cloud Computing, there are five major components which are Cloud Consumer, Cloud Auditor, Cloud Provider, Cloud Carrier and Cloud Broker [4] [5]. This paper is mainly focused on architecture components of Service Orchestration and Cloud Service Management in Cloud Provider since those components are relevant to industry solutions, and they are also a part of Common Cloud Management Platform (CCMP) for the cloud management architecture [6]. In addition, Cloud Computing can appeal less capital and operational expenses because the infrastructure can be constructed with a statistical multiplex of hardware and software stacks among workloads and also different customers. The automation technology for the systems management and the shared hardware and software stacks can provide an efficient infrastructure for the enterprise IT operation. Cloud Computing has a challenge IT theme for the IT outsourcing service in enterprises since it is a emerging paradigm shift from a legacy support and business structure to a structure of Cloud Computing [7].",10.1109/CLOUD.2014.105,Industry Cloud - Effective Adoption of Cloud Computing for Industry Solutions,4 December 2014,0
"The drawbacks of tools like browser extensions, commandline tools and applications with a graphical user interface that require a local installation indicate that an online tool is best suited to work with multiple cloud services. This should be delivered as a software service that can be used with all kinds of devices and browsers. The service could be implemented on a scalable platform service such as Google App Engine. It is also quite easy to optimize a software service for mobile devices that lack physical keyboards and have a limited screen size.",10.1109/CLOUD.2011.64,The KOALA Cloud Manager: Cloud Service Management the Easy Way,1 September 2011,0
"In the past 25 years, several other markets have evolved, including data warehousing, text management, the Web, and stream processing. These markets have very different requirements from business data processing. Also in the last 25 years, processors became thousands of times faster and memories grew to be thousands of times larger. Storage volumes have increased enormously. Through the use of scale-out techniques, cloud computing has extended these resources, making them essentially infinite. Finally, systems that use DBMSs rarely run interactive transactions or present users with direct SQL interfaces.",10.1109/MCC.2014.25,Today's Tidbit: VoltDB,10 July 2014,0
"Are there really established and emerging standards in the new world of cloud computing? Yes, definitely. You might not know about such efforts yet, so the magazine aims to collect the most coherent explanations available and expand on them wherever possible. This effort will aim to study, explain, document, and give a forum for describing not only the standards that are seeing use, but also the process through which they're developed to the point that they can see the light of day. As we'll see, standards in the cloud computing world aren't new at all; many of these protocols and specifications have been under continuous development for several years, leading to an increasing state of maturity that makes it possible and practical to take on such an effort.",10.1109/MCC.2014.21,Setting Cloud Standards in a New World,10 July 2014,0
"Progress can take unanticipated turns. Rather than trying to invent the tele-phone, Bell was trying to develop his idea for a multi wavelength version of the simpler telegraph, with each coded signal carried as modulations on its own separate sound frequency. [1] If he had succeeded, this would have provided the logical precursor for modern multiwavelength communications, a technology that is used now in a different but substantially similar way on essentially all long-distance optical fiber connections.",10.1109/MCC.2015.27,"Invention, Innovation, and New APIs",2 June 2015,0
"For a simple workflow such as that in Figure 1, it isn't too difficult to work out a way to partition the software to meet security requirements. Larger, more complex applications might have many more components, and even different security levels for different types of data. Making manual decisions on how to partition the application is error prone and potentially fraught with danger as it could result in sensitive data being stored and processed in the public cloud.",10.1109/MCC.2014.46,Application Security through Federated Clouds,30 September 2014,0
"Legacy, multirooted tree-based network architectures, such as the ThreeTier architecture, cannot accommodate cloud computing's growing demands.[4] Legacy DC architectures face several major challenges: scalability, high oversubscription ratio and low cross-section bandwidth, energy efficiency, and fault tolerance.",10.1109/MCC.2014.26,Trends and challenges in cloud datacenters,10 July 2014,0
"The architecture of MCC refers to the way in which mobile devices connect and interact with the cloud. The existed architectures can be divided into three categories: remote cloud, cloudlet and Ad hoc cloud. We introduce the concepts of the three architectures and analyze the state of art respectively, followed by our vision for future hybrid mobile cloud architecture.",https://doi.org/10.1109/CIACT.2018.8480365,"Mobile Cloud Computing: the State of Art, Application Scenarios and Challenges",4 October 2018,0
"We propose Osmotic Flow, a new model for holistically programming, mapping and executing IoT data transformation workflow applications on a distributed infrastructure combining both EDC and CDC resources. In the Osmotic Flow model, an IoT workflow application is modelled as a directed (potentially cyclic) graph with data transformation tasks as its nodes, and dataflow dependencies (or control flow dependencies for computational synchronization, if/as needed) between data transformation tasks as its vertices. Osmotic Flow model permits data transformation tasks to be distributed, managed, and executed across any available CDC and EDC provider.",10.1109/MCC.2017.22,Osmotic Flow: Osmotic Computing + IoT Workflow,26 April 2017,0
"The emerging availability and varying complexity and types of IoT devices, along with large data volumes that such devices (can potentially) generate, can have a significant impact on our lives, fueling the development of critical next-generation services and applications in a variety of application domains (healthcare, finance, disaster management, and so on). Understanding how data from such devices can be more efficiently analyzed remains a challenge, with existing reliance on large-scale cloud computing systems becoming a bottleneck over time. Transferring large datastreams to such centralized cloud datacenter environments, in a timely and reliable manner, is a key limitation of current cloud-centric IoT programming models (such as Amazon IoT and Google Cloud Dataflow). These existing IoT programming models are considered inappropriate in the context of emerging IoT applications for the principal reason that they assume that the intelligence and resource capacity necessary for data processing reside predominantly in the cloud datacenter.",10.1109/MCC.2016.124,Osmotic Computing: A New Paradigm for Edge/Cloud Integration,30 December 2016,0
"“A model for enabling ubiquitous, convenient, on-demand network access to a shared pool of configurable computing resources that includes networks, servers, storage, applications, and services that can be rapidly provisioned and released with minimal management effort or service provider interaction”.",https://doi.org/10.1109/ICIPTM54933.2022.9753956,Scalable and Adaptable End-To-End Collection and Analysis of Cloud Computing Security Data: Towards End-To-End Security in Cloud Computing Systems,18 April 2022,0
"Also known as in-frared camera sensors, thermographic camera sensors function irrespective of ambient light.6,7 In a postdisaster scenario, these sensors periodically capture and transmit frames (generated through thermal imaging) to the onsite sensor cloud storage. These frames are analyzed within the cloud servers in real time to determine the location and number of live victims in the affected regions.",10.1109/MCC.2014.72,Evacuation and Emergency Management Using a Federated Cloud,30 November 2014,0
"The analysis of risk is very important in cloud environment, because of the many challenges of cloud computing. The security and privacy of both provider and consumer can be compromised with the different existing threats of cloud. In the next two section contains the idea and detailed solution of these problems and threats.",https://doi.org/10.1109/ICEEOT.2016.7755626,Cloud computing security analysis: Challenges and possible solutions,24 November 2016,0
Smartphone applications nowadays provide numerous useful ways for users to encompass the proficiencies of their phones [1]. The report articulates that there are more than 1+ million applications and 50+ billion downloads [2] both in PLAY store for Android and APP store for Apple products.,https://doi.org/10.1109/MobileCloud.2017.29,Mobile-Based Location Tracking without Internet Connectivity Using Cloud Computing Environment,12 June 2017,0
"The growing adoption of microservices in the cloud is motivated by the ease of deploying and updating the software, as well as the provisioned loose coupling provided by dynamic service discovery and binding. Moreover, structuring the software to be deployed in the cloud as a collection of microservices allows cloud service providers to offer higher scalability guarantees through more efficient consumption of cloud resources, and to dynamically and quickly restructure software to accommodate growing consumer demand. Structuring software in smaller computation units enables optimized allocation of the application components within proper containers in the virtual machines (VMs) running on top of the host machine provided by the cloud infrastructure, as the example in Figure 1 illustrates. This lets us minimize waste of resources and maximize packing of the components within a single VM. This is possible because, despite having to realize the same application tasks, microservices are typically thinner than conventional software components because they use lightweight software technologies and platforms. This model also allows a simpler and faster migration of software component instances from one VM to another to satisfy cloud applications' changing resource demands.",10.1109/MCC.2016.105,Challenges in Delivering Software in the Cloud as Microservices,11 November 2016,0
"We propose a public verification scheme in which we adopt a random masking technique instead of secure channels between cloud servers and auditors to resist external adversaries. In addition, users are able to examine auditors' behaviors to prevent malicious auditors from fabricating verification results. Furthermore, we use Bitcoin to construct an unbiased challenge message, which helps prevent malicious auditors from colluding with cloud servers. Security and performance analyses show that the proposed scheme can achieve security goals with efficiency.",10.1109/MCC.2016.94,Cryptographic Public Verification of Data Integrity for Cloud Storage Systems,11 November 2016,0
"The amalgamation of ICDs with big data processing software frameworks and cloud-based hardware resources leads to the creation of novel big data applications in domains such as healthcare, traffic management, smart energy grids, and smart manufacturing. Managing large, heterogeneous, and rapidly increasing volumes of data, and extracting value out of such data, has long been a challenge. In the past, this was partially mitigated by fast processing technologies that exploited Moore's law. However, with a fundamental shift toward big data applications, data volumes are growing faster than they can be analyzed, regardless of increased CPU speeds or other performance improvements. Although the impetus for the remainder of our article comes from healthcare big data, the problems and solutions discussed are applicable to other application domains.",10.1109/MCC.2015.36,Trustworthy Processing of Healthcare Big Data in Hybrid Clouds,2 June 2015,0
"Microservices act as standalone application subunits or components, implementing specific communication protocols for sending and receiving messages. In microservices, data flows through smart endpoints, which also process incoming information. Using well-defined interfaces and protocols, application developers can deploy different microservices on heterogeneous infrastructures without a specific integration framework. Generally, microservice communication uses a REST approach based on HTTP and TCP protocols, XMPP, or JavaScript Object Notation (JSON). However, currently, there are no widely adopted standardized protocols or data formats for microservice communication.1 Microservices deployment and execution also leads to various networking issues. To this end, application developers currently adopt various software-defined networking (SDN) and network function virtualization (NFV) solutions for networking microservices.",10.1109/MCC.2016.112,Open Issues in Scheduling Microservices in the Cloud,11 November 2016,0
"Data analysis was done by mapping the results from all selected institutions and presenting the result using tables and graphs. Quantitative data was analyzed using excel and observed patterns were compared with other from literatures. Moreover, we calculated the overall results on every investigated metric (e.g. storage, memory, power consumption in PCs and Severs).",https://doi.org/10.1109/SCAT.2014.7055151,Road map towards eco-efficient cloud computing adoption in higher learning institutions in Tanzania,5 March 2015,0
PUE stands for Power Usage Effectiveness. It states that the energy consumed in the data centers would be effective and efficient and no energy should be wasted. It is the statistic to make sure how much energy is consumed. [3] DCiE stands for Data Center infrastructure Efficiency. It is the inverse of PUE. Both of these methods are used to govern electricity.,https://doi.org/10.1109/ICICICT54557.2022.9917654,Energy Savings using Green Cloud Computing,18 October 2022,0
"Taking such an approach also lets us make short work of dispatching useless arguments regarding architectural use patterns and room for creativity in design. Advocates of Representational State Transfer (REST)/HTTP API design methods, for example (practitioners of which include me), sometimes say that such methods don't use standards or are an antistandards alternative, when in fact they simply appropriately use the set of HTTP standards and the REST architectural design pattern to allow creativity to flourish within and between boundaries defined by HTTP interfaces. Far from being antistandards in nature, modern RESTful API design is a vindication of the standards-based approach and a real-world example of using community-designed standards to solve practical problems in creative ways.",10.1109/MCC.2014.6,Defining Our Terms,10 July 2014,0
"An additional fatal issue with private clouds is that enterprise security teams can't stop determined insider attacks. Even in the presence of segregation of duty controls, as with Sarbanes-Oxley relevant systems, the approach is vulnerable to collusion, which is easy to achieve with malware on multiple compromised systems. Thus, by situating a private cloud inside the enterprise and assuming that internal access can be trusted, an organization places its cloud infrastructure at direct risk of compromise.",10.1109/MCC.2014.17,Practical methods for securing the cloud,10 July 2014,0
"The DC architecture plays a pivotal role in the performance and scalability of the cloud platform. Cloud computing relies on DCs to deliver the expected services.[2] The widespread adoption of the cloud paradigm mandates exponential growth in the DC's computational, network, and storage resources. Increasing the computational capacity of today's DCs is not an issue. However, interconnecting the computational resources to deliver high intercommunication bandwidth and specified QoS are key challenges. Today's DCs are not constrained by computational power but are limited by their interconnection networks.",10.1109/MCC.2014.26,Trends and challenges in cloud datacenters,10 July 2014,0
"This article investigates the technical challenges from the user-to-multiple-cloud interoperability perspective. In this cloud integration model, application owners are responsible for provisioning their application components over resources belonging to multiple providers. In this scenario, owners typically implement or use an application provisioner software program (such as RightScale [www.rightcale.com] or CloudSwitch [https://home.cloudswitch.com]), which distributes application components across multiple resource providers to meet the SLAs in an optimal way.",10.1109/MCC.2014.41,The Cloud Interoperability Challenge,15 October 2014,0
"The basic elements of a search engine process are crawling, storage, indexing and ranking algorithms [1]. Many studies has proposes new approach provides a cloud-based platform for low-cost, effective and personalized search models [1]. Cloud computing today has brought a new era in the use of infrastructure more efficient. Currently, cloud computing infrastructure will maximize the use of virtual machine (VM). It means that we can create instance of VM(s) on a single physical computer. The use of VM is expected to increase the efficiency of resource usage because VM can be set, invoked or terminated in accordance with the requirements.",10.1109/ICCCSN.2012.6215751,Building crawler engine on cloud computing infrastructure,14 June 2012,0
"Cultivators can use information such as light, humidity and temperature levels to modify irrigation schedules and avoid the risk of damaging crops.2 For example, soil sensors can be used to collect information on how water flows through the land and can be used to track changes in soil moisture, temperature, and levels of nitrogen and carbon. These sensors can work in conjunction with drip irrigation methods and fertigation to avoid unnecessary waste of water and fertilizer, thus, increasing fruit and leaf quality. Real-time data of weather predictions, soil conditions, crop features, etc. can support farmers in making informed decisions on which crops to plant where and when as well as when to plough, etc. This allows the monitoring, optimization, and precise control of high-yielding (wheat, corn, etc.) and sensitive crops (vineyards, tropical fruits, etc.), whether cultivated outdoors or in greenhouses. This permits farmers to help reach maximum crop production with optimal quality.3",10.1109/MCC.2017.5,Cloud of Things in Smart Agriculture: Intelligent Irrigation Monitoring by Thermal Imaging,,0
"Distributed denial of service (DDoS) attacks have been a nightmare for enterprise operations, availability, and security. After the emergence of modern computing paradigms like cloud computing, these attacks saw major changes in scale, methods, aims, and targets. The advantages provided by cloud computing are available to both victims and the attackers. This has made the DDoS arms race interesting and quite complex.1 In 2004, the peak attack bandwidth was just 8 gigabits per second (Gbps). However, according to the report by Arbor Networks, there were much heavier DDoS attacks with attack bandwidths of more than 500 Gbps in 2015.2 The target services of DDoS attacks lie in each sector influenced by IT infrastructure, whether its government, banking, or media industry.",10.1109/MCC.2017.14,"Combating DDoS Attacks in the Cloud: Requirements, Trends, and Future Directions",15 March 2017,0
"A century ago, factories provided their own power, but with the emergence of large utilities, electricity became a cheap commodity, enabling businesses to simply plug into the grid. Carr argues that a similar phenomenon is occurring with cloud computing. Private computer systems are being supplanted by services provided via the Internet.",https://doi.org/10.1109/MIC.2010.136,Cloud Computing: The Limits of Public Clouds for Business Applications,1 November 2010,0
"VCL is evaluated in two perspectives, the architecture model and its deployment explaining its components in detail. The VCL components are compared to other classical cloud computing models. The functionality of VCL services is verified with respect to the cloud management infrastructure of the IaaS VMs.",https://doi.org/10.1109/CCAA.2015.7148478,Virtual computing lab (VCL) open cloud deployment,6 July 2015,0
"This study uses DEMATEL technique to identify the key consideration factors and explore their interrelationship. The DEMATEL, originated from the Geneva Research Centre of the Battelle Memorial Institute [12], uses matrix calculations to obtain all the direct and indirect causal relationships, as well as the influence strength.",https://doi.org/10.1109/CloudCom.2012.6427610,Key consideration factors of adopting cloud computing for science,4 February 2013,0
Calheiros et. al in [10] propose a resource management system for cloud bursting. This system adopts dynamic provisioning and scheduling of cloud resources to minimize cost while respecting job deadlines.,https://doi.org/10.1109/CLOUD.2017.112,Cloud Bursting Scheduler for Cost Efficiency,11 September 2017,0
"It is clear that technology can play a significant role in enhancing the quality of care for patients (e.g. leveraging data analytics to make informed medical decisions) and potentially reduce costs by more efficiently allocating resources in terms of personnel, equipment, etc. For example, data captured in paper form is hard to capture in systems (e.g. costly and data entry errors), costly to archive, and being available when needed.",https://doi.org/10.1109/MCC.2018.011791712,Blockchain: A Panacea for Healthcare Cloud-Based Data Security and Privacy?,28 March 2018,0
"The price you pay for these advantages is portability. Applications that are localized for specific cloud platforms are not easily ported to other cloud platforms. Doing so takes a great deal of rewriting or refactoring of the code. For all practical purposes, you are locked into that cloud platform.",10.1109/MCC.2017.4250932,"Cloud-Native Applications and Cloud Migration: The Good, the Bad, and the Points Between",1 December 2017,0
"Enabling marketplaces at the edge and integrating them into existing edge- and cloud-computing infrastructure is nontrivial. Emerging distributed-ledger technologies (DLTs) such as blockchains have promising features that could help in realizing such marketplaces (see Figure 1). However, DLTs will require new extensions before they can be fully leveraged to establish edge marketplaces. Such extensions will require collaboration across multiple disciplines.",10.1109/MCC.2018.064181115,Realizing Edge Marketplaces: Challenges and Opportunities,29 November 2018,0
"Consider a chaos experiment on a microservice architecture that injects latency between calls from service A to service B. This experiment might reveal that a spike in the response time of service B triggers a retry storm that overloads essential service C, a weakness that would not be detected by unit or integration testing (see sidebar: how chaos relates to traditional testing).",10.1109/MCC.2018.032591616,The Business Case for Chaos Engineering,12 June 2018,0
"Artificial intelligence has become more affordable through the use of cloud platforms, making it a shiny new object once again. The affordable cost, coupled with cloud providers that promote artificial intelligence as having wide value, raises valid concerns that the technology will be misapplied. This already seems to be a pattern. Be aware that the value won't be realized if artificial intelligence is applied to systems that can't benefit from making predictions from patterns found in data, which applies to most applications within enterprises.",10.1109/MCC.2018.1081067,Making Sense of AI in Public Clouds,31 December 2017,0
"Volume 1 of National Institute of Standards and Technology (NIST) Special Publication (SP) 500–293, US Government Cloud Computing Roadmap, highlights that boundaries in a cloud ecosystem are more complex and therefore renders traditional risk management mechanisms, such as perimeter-based defense mechanisms, less effective.5 Moreover, in a cloud ecosystem, the complex relationships among cloud actors,6 the actors' individual missions, business processes, and their supporting information systems require an integrated, ecosystem-wide risk management framework (RMF) that addresses all cloud actors' needs. As with any information system, for a cloudbased information system, cloud actors are responsible for evaluating their acceptable risk, which depends on the threshold set by their risk tolerance to the cloud ecosystem-wide residual risk.",10.1109/MCC.2015.122,Managing Risk in a Cloud Ecosystem,2 February 2016,0
"These additional facts bring to light the dichotomy between enterprises' need/desire to migrate high-value data into cloud workloads to realize the promise of increased productivity and operational efficiency, while at the same time fearing the risks associated with operation of the cloud models used to host this data. In addition, a general lack of knowledge and understanding of cloud computing is keeping many organizations from adopting and using cloud platforms and services overall.",10.1109/MCC.2016.21,The Hybrid Cloud Security Professional,26 February 2016,0
"The networked manufacturing framework,3 illustrated in Figure 1, interconnects the strategic centers of an enterprise, enabling it to operate at a worldwide scale. This is different from a logistic network, where products are exchanged to lower production costs. The networked manufacturing framework envisions the exchange of products, associated services, and knowledge to improve productivity, flexibility, and competitiveness. Networked manufacturing is a concrete realization of distributed manufacturing where a network is used to integrate production and shipping facilities, with the headquarters playing the role of centralized manager for the overall network by monitoring and adjusting the day-to-day contingencies and activities.",10.1109/MCC.2016.79,"Cloud Manufacturing: Security, Privacy, and Forensic Concerns",19 September 2016,0
"Recent advancements in container technologies and the capability to overcome limitations in virtualization have, perhaps, encouraged the use of containers in the cloud for software development and deployment. This might also have paved the way for the adoption of a microservice architectural paradigm in cloud-hosted software by lowering infrastructure and maintenance costs.2, 5, 6 For example, microservices support the realization of small (sized) applications that are fine-grained and loosely coupled and communicate through REST protocols. These applications are implemented using APIs provided by the infrastructure-as-a-service (IaaS) layer for provisioning data computing, storage, and delivery capabilities.",10.1109/MCC.2016.105,Challenges in Delivering Software in the Cloud as Microservices,11 November 2016,0
"Currently, cloud providers employ access controls to prevent unauthorized access to data and services, and containment mechanisms to prevent data leaking between tenants (those consuming cloud services) using a shared infrastructure. But these tend to be security rather than compliance focused and typically apply only at specific application, system, or user boundaries. Further, cloud services tend to be opaque and black box in nature. Despite some management tools (which depend on the service model/application), there's typically little scope for tenants to visualize, let alone specify, how data should be managed once within the cloud, or the precise circumstances in which data can be transferred.",10.1109/MCC.2015.69,Data Flow Management and Compliance in Cloud Computing,16 September 2015,0
"Just as the shift from first platform (mainframe) to second (client-server) changed everything about the way that software is constructed and managed, so does the shift to third platform. Software practitioners must learn a whole new set of design patterns as well as master new software engineering and management tools and methodologies to remain effective. Ultimately our aim is to provide reliable digital solutions even while the infrastructure they are running on is unstable.",10.1109/MCC.2017.4250927,Realizing Software Reliability in the Face of Infrastructure Instability,1 December 2017,0
"One factor that drives the interest in distributed led-ger-based methods is the ease with which they can be added to existing workflows and data processing life-cycles. This consideration may be more important, in the long run, than the current emphasis on inventing entirely new business models based on such methods.",10.1109/MCC.2017.3791019,Blockchain Standards for Compliance and Trust,12 October 2017,0
"With data also produced at the edge, both data generation and consumption can occur at many different places and times. In this context, different applications can have different requirements, especially in terms of response time. Currently, applications often rely on the cloud to have data and processing support, which may not be suitable for lower latency requirements. Moreover, execution of applications in cloud data centers does not take user mobility into consideration, and data or processing of an application can occur at a geographically distant data center. On the other hand, in a distributed computing scenario at the edges of the network, data distribution and processing can be maintained closer to the user, reducing network traffic to data centers and improving application response times as a result of lower network latency or delay.",10.1109/MCC.2017.27,Mobility-Aware Application Scheduling in Fog Computing,26 April 2017,0
